"ID","householdID","communityID","Birth_Year","Birth_Month","ba003","Current_Hukou","Marital_Status","bf004","Adult_Edu","Age_2011","Edu_Group","Area_Type"
"01023330602","010233306","0102333",1951,9,2,"1","1",NA,0,60,1,"1"
"01023330901","010233309","0102333",1926,1,2,"1","6",1,0,85,1,"1"
"01023331101","010233311","0102333",1936,11,2,"1","1",NA,0,75,1,"1"
"01023331301","010233313","0102333",1942,1,2,"2","2",NA,NA,69,NA,"1"
"01023331302","010233313","0102333",1950,2,2,"1","1",NA,0,61,1,"1"
"01023331501","010233315","0102333",1946,3,2,"1","2",NA,0,65,1,"1"
"01023331601","010233316","0102333",1951,9,2,"1","1",NA,0,60,3,"1"
"01023331901","010233319","0102333",1951,4,2,"1","1",NA,0,60,1,"1"
"01023331902","010233319","0102333",1951,1,2,"1","1",NA,0,60,1,"1"
"01023332001","010233320","0102333",1939,6,2,"1","5",1,0,72,1,"1"
"01023332401","010233324","0102333",1946,1,2,"1","5",1,0,65,1,"1"
"01023332602","010233326","0102333",1951,6,2,"1","1",NA,0,60,1,"1"
"01023332702","010233327","0102333",1951,5,2,"1","1",NA,0,60,1,"1"
"01023333201","010233332","0102333",1931,5,2,"1","1",NA,0,80,3,"1"
"01023333202","010233332","0102333",1932,1,2,"1","1",NA,1,79,1,"1"
"01044610101","010446101","0104461",1939,9,2,"1","1",NA,1,72,1,"1"
"01044610102","010446101","0104461",1944,2,2,"1","1",NA,0,67,1,"1"
"01044610201","010446102","0104461",1942,6,2,"1","5",2,0,69,1,"1"
"01044610301","010446103","0104461",1932,3,2,"1","5",4,0,79,1,"1"
"01044610701","010446107","0104461",1945,1,2,"1","1",NA,0,66,2,"1"
"01044610702","010446107","0104461",1941,11,2,"1","1",NA,0,70,1,"1"
"01044610801","010446108","0104461",1947,12,2,"1","5",1,0,64,1,"1"
"01044610901","010446109","0104461",1945,5,2,"1","1",NA,0,66,1,"1"
"01044610902","010446109","0104461",1950,4,2,"1","1",NA,0,61,1,"1"
"01044611201","010446112","0104461",1940,4,2,"1","3",1,1,71,1,"1"
"01044611401","010446114","0104461",1944,5,2,"1","1",NA,0,67,2,"1"
"01044611402","010446114","0104461",1942,12,2,"1","1",NA,0,69,3,"1"
"01044611501","010446115","0104461",1928,3,2,"2","2",NA,1,83,1,"1"
"01044611502","010446115","0104461",1933,8,2,"2","2",NA,0,78,1,"1"
"01044611601","010446116","0104461",1948,6,2,"1","5",1,0,63,1,"1"
"01044611801","010446118","0104461",1951,1,2,"1","1",NA,0,60,1,"1"
"01044611901","010446119","0104461",1944,8,2,"1","5",2,0,67,1,"1"
"01044620102","010446201","0104462",1949,1,2,"1","2",NA,0,62,1,"1"
"01044620202","010446202","0104462",1941,5,2,"1","1",NA,0,70,2,"1"
"01044620301","010446203","0104462",1934,4,2,"1","5",2,0,77,1,"1"
"01044620701","010446207","0104462",1945,6,2,"1","1",NA,0,66,1,"1"
"01044620702","010446207","0104462",1948,12,2,"1","1",NA,0,63,1,"1"
"01044620801","010446208","0104462",1938,8,2,"1","2",NA,0,73,1,"1"
"01044620802","010446208","0104462",1937,8,2,"1","2",NA,0,74,1,"1"
"01044621201","010446212","0104462",1949,3,2,"1","1",NA,0,62,3,"1"
"01044621202","010446212","0104462",1947,6,2,"1","1",NA,0,64,1,"1"
"01044621901","010446219","0104462",1946,12,2,"1","5",5,0,65,1,"1"
"01044622301","010446223","0104462",1947,1,2,"1","1",NA,0,64,1,"1"
"01044622302","010446223","0104462",1950,12,2,"1","1",NA,0,61,3,"1"
"01044622501","010446225","0104462",1942,3,2,"1","5",4,0,69,1,"1"
"01044622701","010446227","0104462",1933,12,2,"1","1",NA,0,78,1,"1"
"01044622702","010446227","0104462",1946,3,2,"1","1",NA,0,65,1,"1"
"01044622801","010446228","0104462",1946,3,2,"1","1",NA,0,65,2,"1"
"01044622802","010446228","0104462",1943,1,2,"1","1",NA,0,68,3,"1"
"01044630901","010446309","0104463",1951,1,2,"1","2",NA,0,60,1,"1"
"01044630902","010446309","0104463",1948,11,2,"1","2",NA,0,63,1,"1"
"01044631301","010446313","0104463",1947,4,2,"1","1",NA,1,64,1,"1"
"01044631302","010446313","0104463",1948,11,2,"1","1",NA,1,63,1,"1"
"01044631501","010446315","0104463",1941,2,2,"1","5",1,0,70,1,"1"
"01044631601","010446316","0104463",1934,12,2,"1","5",1,0,77,1,"1"
"01044631701","010446317","0104463",1937,2,2,"1","5",2,0,74,1,"1"
"01044631801","010446318","0104463",1943,4,2,"1","3",2,1,68,1,"1"
"01044631901","010446319","0104463",1942,7,2,"1","1",NA,0,69,1,"1"
"01044631902","010446319","0104463",1941,5,2,"1","1",NA,0,70,1,"1"
"01044632101","010446321","0104463",1945,9,2,"1","5",4,0,66,2,"1"
"01044632201","010446322","0104463",1942,1,2,"1","2",NA,0,69,1,"1"
"01044632202","010446322","0104463",1942,5,2,"1","2",NA,0,69,3,"1"
"01044632501","010446325","0104463",1934,11,2,"1","1",NA,0,77,1,"1"
"01044632502","010446325","0104463",1933,1,2,"1","1",NA,0,78,1,"1"
"01044632601","010446326","0104463",1951,1,2,"1","1",NA,0,60,1,"1"
"01044632602","010446326","0104463",1950,2,2,"1","1",NA,0,61,1,"1"
"01045110101","010451101","0104511",1931,4,2,"1","5",1,0,80,1,"1"
"01045110201","010451102","0104511",1945,1,2,"1","5",1,0,66,1,"1"
